,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
20262,unsuspicious,a,1,1,&,1,0,02463029
20263,unswayed,a,1,1,&,1,0,00072790
20264,unsweet,a,2,1,['&'],2,0,"['02368247', '00090628']"
20265,unsweetened,a,1,1,&,1,0,02338543
20266,unswept,a,2,2,"['!', '&']",2,0,"['02371215', '00423781']"
20267,unswerving,a,2,1,['&'],2,0,"['00761844', '00583581']"
20268,unsworn,a,1,1,!,1,0,02371583
20269,unsyllabic,a,1,1,&,1,0,02289738
20270,unsyllabled,a,1,1,&,1,0,02290179
20271,unsymbolic,a,1,0,[],1,0,['01982538']
20272,unsymmetric,a,1,1,&,1,0,02374259
20273,unsymmetrical,a,2,1,['&'],2,0,"['02374259', '00892635']"
20274,unsympathetic,a,5,4,"['!', '&', '^', ';']",5,1,"['02375828', '02376562', '01986349', '01374461', '00561359']"
20275,unsympathising,a,1,1,&,1,0,02376118
20276,unsympathizing,a,1,1,&,1,0,02376118
20277,unsynchronised,a,1,1,&,1,0,02380225
20278,unsynchronized,a,1,1,&,1,0,02380225
20279,unsynchronous,a,1,1,&,1,0,02380225
20280,unsystematic,a,1,2,"['!', '^']",1,0,['02383151']
20281,untactful,a,1,1,^,1,0,02384843
20282,untagged,a,1,0,[],1,0,['01379844']
20283,untainted,a,1,1,&,1,0,00247247
20284,untalented,a,1,1,!,1,0,01119305
20285,untalkative,a,1,1,&,1,0,02383709
20286,untamed,a,1,3,"['&', '^', '=']",1,0,['02389220']
20287,untangled,a,1,2,"['!', '&']",1,0,['00256453']
20288,untanned,a,1,1,!,1,0,01659447
20289,untaped,a,1,1,&,1,0,01422863
20290,untapped,a,2,2,"['!', '&']",2,0,"['01659874', '00943203']"
20291,untarnished,a,1,1,&,1,0,00247247
20292,untasted,a,1,1,&,1,0,01086339
20293,untaught,a,1,1,&,1,0,00831696
20294,untaxed,a,1,1,&,1,0,02401288
20295,untechnical,a,1,0,[],1,0,['01109096']
20296,untellable,a,1,1,&,1,1,00944111
20297,untempered,a,2,2,"['!', '&']",2,0,"['01522038', '01521293']"
20298,untempting,a,2,1,['&'],2,0,"['02098243', '01359159']"
20299,untenable,a,1,1,&,1,1,01945010
20300,untenanted,a,1,1,&,1,0,01313346
20301,untended,a,1,1,&,1,0,00308870
20302,untested,a,2,1,['&'],2,1,"['00937732', '01643094']"
20303,untethered,a,1,1,&,1,0,00254419
20304,unthankful,a,1,1,&,1,0,01147044
20305,unthawed,a,1,1,&,1,0,01079532
20306,untheatrical,a,1,1,!,1,0,00796928
20307,unthematic,a,1,2,"['!', '\\']",1,1,['02813819']
20308,unthinkable,a,1,3,"['!', '&', '^']",1,0,['02418538']
20309,unthinking,a,3,1,['&'],3,1,"['02421003', '00639594', '00441272']"
20310,unthought,a,1,1,&,1,0,00931070
20311,unthought-of,a,1,1,&,1,0,00931070
20312,unthoughtful,a,1,2,"['&', '+']",1,0,['02421003']
20313,unthreatening,a,1,1,&,1,0,01247025
20314,untidy,a,1,4,"['!', '&', '^', '+']",1,0,['02424254']
20315,untied,a,3,2,"['!', '&']",3,0,"['00254983', '00254615', '00254296']"
20316,untilled,a,1,1,&,1,0,01833541
20317,untimbered,a,2,2,"['!', '&']",2,0,"['02430002', '02575238']"
20318,untimely,a,2,2,"['&', '+']",2,0,"['01662119', '00815000']"
20319,untipped,a,1,1,!,1,0,02431619
20320,untired,a,1,1,&,1,0,02434929
20321,untiring,a,1,1,&,1,0,00754682
20322,untitled,a,1,1,&,1,0,01593480
20323,untoasted,a,1,1,&,1,0,00619873
20324,untold,a,1,1,&,1,1,01554412
20325,untoothed,a,1,1,&,1,0,02245318
20326,untouchable,a,5,2,"['&', '+']",5,0,"['02526725', '02510786', '01761742', '00428243', '00186193']"
20327,untouched,a,4,3,"['!', '&', '^']",4,2,"['01086339', '00072790', '02445554', '01560320']"
20328,untoughened,a,1,2,"['&', '^']",1,0,['02448166']
20329,untoward,a,2,1,['&'],2,1,"['01880918', '00997036']"
20330,untraceable,a,1,1,!,1,0,02453492
20331,untracked,a,1,1,&,1,0,00020241
20332,untraditional,a,1,0,[],1,1,['00611938']
20333,untrained,a,1,2,"['!', '&']",1,0,['01912613']
20334,untrammeled,a,1,1,&,1,1,01416255
20335,untrammelled,a,1,1,&,1,0,01416255
20336,untransferable,a,1,1,&,1,0,00094324
20337,untranslatable,a,1,1,!,1,0,02489312
20338,untransmutable,a,1,1,&,1,0,00348938
20339,untraveled,a,1,2,"['!', '&']",1,0,['02454482']
20340,untravelled,a,1,1,&,1,0,02454482
20341,untraversable,a,1,1,&,1,0,01725624
20342,untraversed,a,1,1,&,1,0,02454619
20343,untreated,a,3,3,"['!', '&', '^']",3,0,"['01955898', '01954781', '00402285']"
20344,untried,a,2,1,['&'],2,1,"['00937732', '01643094']"
20345,untrimmed,a,1,2,"['!', '&']",1,0,['02455069']
20346,untrod,a,1,1,&,1,0,00020241
20347,untrodden,a,1,1,&,1,0,00020241
20348,untroubled,a,3,3,"['!', '&', '^']",3,0,"['02459109', '02093305', '01923286']"
20349,untrue,a,4,1,['&'],4,1,"['02462489', '00960481', '00912637', '00584403']"
20350,untrusting,a,1,1,&,1,0,02464277
20351,untrustworthy,a,1,4,"['!', '&', '^', '+']",1,0,['02466111']
