,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
10193,swosh,v,1,1,@,1,0,02188198
10194,swot,v,1,3,"['@', '$', '+']",1,0,['00605783']
10195,swot_up,v,1,2,"['@', '$']",1,0,['00605783']
10196,syllabicate,v,1,2,"['@', '+']",1,0,['01563336']
10197,syllabify,v,1,2,"['@', '+']",1,0,['01563336']
10198,syllabise,v,2,1,['@'],2,0,"['01563336', '00979988']"
10199,syllabize,v,2,2,"['@', '+']",2,0,"['01563336', '00979988']"
10200,syllogise,v,1,2,"['@', '+']",1,0,['00653449']
10201,syllogize,v,1,2,"['@', '+']",1,0,['00653449']
10202,symbolise,v,2,3,"['@', '~', '+']",2,0,"['00987597', '00836236']"
10203,symbolize,v,2,3,"['@', '~', '+']",2,1,"['00836236', '00987597']"
10204,symmetrise,v,1,2,"['@', '+']",1,0,['00552619']
10205,symmetrize,v,1,2,"['@', '+']",1,0,['00552619']
10206,sympathise,v,3,3,"['@', '~', '+']",3,0,"['01822724', '01822248', '00594058']"
10207,sympathize,v,3,3,"['@', '~', '+']",3,2,"['01822724', '00594058', '01822248']"
10208,sympathize_with,v,1,2,"['@', '~']",1,1,['01821996']
10209,symphonise,v,1,2,"['@', ';']",1,0,['01727052']
10210,symphonize,v,1,3,"['@', '+', ';']",1,0,['01727052']
10211,sync,v,1,2,"['@', '~']",1,0,['00393953']
10212,synchronise,v,6,6,"['!', '@', '~', '$', '+', ';']",6,0,"['02739254', '00960734', '00735866', '00464996', '00464828', '00393953']"
10213,synchronize,v,6,6,"['!', '@', '~', '$', '+', ';']",6,1,"['00393953', '02739254', '00960734', '00735866', '00464996', '00464828']"
10214,syncopate,v,2,3,"['@', '+', ';']",2,0,"['00317086', '00170500']"
10215,syncretise,v,2,1,['@'],2,0,"['00553616', '00368522']"
10216,syncretize,v,2,2,"['@', '+']",2,0,"['00553616', '00368522']"
10217,syndicate,v,3,3,"['@', '$', '+']",3,0,"['02449183', '02449011', '02243758']"
10218,synthesise,v,1,2,"['@', '+']",1,1,['00644066']
10219,synthesize,v,2,3,"['!', '@', '+']",2,1,"['00644066', '00644430']"
10220,syphon,v,1,2,"['@', '+']",1,0,['01853542']
10221,syringe,v,1,2,"['@', '+']",1,0,['01373422']
10222,systematise,v,1,3,"['@', '~', '+']",1,0,['00480969']
10223,systematize,v,1,3,"['@', '~', '+']",1,1,['00480969']
10224,systemise,v,1,3,"['@', '~', '+']",1,0,['00480969']
10225,systemize,v,1,3,"['@', '~', '+']",1,0,['00480969']
10226,table,v,2,3,"['@', '~', '*']",2,0,"['02642814', '01745536']"
10227,taboo,v,1,2,"['@', '+']",1,0,['02508977']
10228,tabularise,v,1,1,@,1,0,01745536
10229,tabularize,v,1,1,@,1,0,01745536
10230,tabulate,v,2,2,"['@', '+']",2,1,"['01745536', '00142967']"
10231,tack,v,6,5,"['@', '~', '^', '+', ';']",6,2,"['01357429', '01946408', '01656788', '01331348', '01328513', '00121678']"
10232,tack_on,v,1,2,"['@', '~']",1,1,['01328513']
10233,tack_together,v,1,2,"['@', '~']",1,0,['01656788']
10234,tackle,v,3,4,"['@', '~', '+', ';']",3,1,"['02569630', '01491697', '01150164']"
10235,tag,v,5,6,"['@', '~', '^', '$', '+', ';']",5,3,"['01588493', '01600600', '01029760', '02001858', '01702033']"
10236,tag_along,v,1,2,"['@', '+']",1,0,['02027030']
10237,tag_on,v,1,2,"['@', '~']",1,0,['01328513']
10238,tail,v,3,3,"['@', '~', '+']",3,0,"['02001858', '01556178', '01321796']"
10239,tailgate,v,1,2,"['@', '+']",1,0,['01998125']
10240,tailor,v,3,4,"['@', '~', '+', ';']",3,2,"['00301662', '01666717', '01666327']"
10241,tailor-make,v,2,2,"['@', '~']",2,1,"['01666327', '01623489']"
10242,taint,v,2,3,"['@', '~', '+']",2,0,"['01537959', '00088713']"
10243,take,v,42,8,"['!', '@', '~', '*', '^', '$', '+', ';']",42,36,"['02599636', '02267989', '01999798', '01214265', '00524682', '00624476', '02077656', '02205272', '01842690', '00674607', '02236124', '02394183', '00734054', '02627934', '02109045', '01002740', '00173338', '01156834', '00669762', '02209936', '02206619', '01982395', '02236624', '00523095', '00599992', '00756076', '02075857', '01151110', '00557404', '02717102', '02208537', '02209745', '02208118', '02201138', '01427127', '00758333', '02741546', '02701210', '02590253', '01930482', '01100830', '00087736']"
10244,take_a_bow,v,2,1,['@'],2,0,"['00899204', '00899041']"
10245,take_a_breath,v,1,3,"['~', '*', '$']",1,1,['00001740']
10246,take_a_breather,v,1,1,@,1,1,00779360
10247,take_a_chance,v,1,2,"['@', '~']",1,1,['02544348']
10248,take_a_crap,v,1,3,"['@', '~', '$']",1,0,['00074038']
10249,take_a_dare,v,2,1,['@'],2,0,"['00950337', '00950206']"
10250,take_a_dive,v,1,1,@,1,0,00839085
10251,take_a_firm_stand,v,1,1,~,1,0,00818974
10252,take_a_hit,v,1,2,"['@', ';']",1,0,['01199755']
10253,take_a_hop,v,1,2,"['@', '~']",1,0,['01892104']
10254,take_a_joke,v,1,1,@,1,0,00669630
10255,take_a_leak,v,1,3,"['@', '~', '$']",1,0,['00072012']
10256,take_a_look,v,1,1,@,1,1,02131777
10257,take_a_powder,v,1,1,@,1,0,00427558
10258,take_a_shit,v,1,3,"['@', '~', '$']",1,0,['00074038']
10259,take_aback,v,1,2,"['@', '~']",1,1,['01809064']
